2014-10-14 13:47:13 status half-installed libtext-iconv-perl:i386 1.7-5
2014-10-14 13:47:13 status unpacked libtext-iconv-perl:i386 1.7-5
2014-10-14 13:47:13 status unpacked libtext-iconv-perl:i386 1.7-5
2014-10-14 13:47:13 install libtext-wrapi18n-perl:all <none> 0.06-7
2014-10-14 13:47:13 status half-installed libtext-wrapi18n-perl:all 0.06-7
2014-10-14 13:47:13 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-10-14 13:47:13 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-10-14 13:47:13 install lsb-base:all <none> 4.1+Debian8+deb7u1
2014-10-14 13:47:13 status half-installed lsb-base:all 4.1+Debian8+deb7u1
2014-10-14 13:47:13 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-10-14 13:47:13 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-10-14 13:47:13 upgrade mawk:i386 1.3.3-17 1.3.3-17
2014-10-14 13:47:13 status half-configured mawk:i386 1.3.3-17
2014-10-14 13:47:13 status unpacked mawk:i386 1.3.3-17
2014-10-14 13:47:13 status half-installed mawk:i386 1.3.3-17
2014-10-14 13:47:13 status half-installed mawk:i386 1.3.3-17
2014-10-14 13:47:13 status unpacked mawk:i386 1.3.3-17
2014-10-14 13:47:13 status unpacked mawk:i386 1.3.3-17
2014-10-14 13:47:13 install libncurses5:i386 <none> 5.9-10
2014-10-14 13:47:13 status half-installed libncurses5:i386 5.9-10
2014-10-14 13:47:13 status unpacked libncurses5:i386 5.9-10
2014-10-14 13:47:13 status unpacked libncurses5:i386 5.9-10
2014-10-14 13:47:13 install libtinfo5:i386 <none> 5.9-10
2014-10-14 13:47:13 status half-installed libtinfo5:i386 5.9-10
2014-10-14 13:47:13 status unpacked libtinfo5:i386 5.9-10
2014-10-14 13:47:13 status unpacked libtinfo5:i386 5.9-10
2014-10-14 13:47:13 install ncurses-base:all <none> 5.9-10
2014-10-14 13:47:13 status half-installed ncurses-base:all 5.9-10
2014-10-14 13:47:13 status unpacked ncurses-base:all 5.9-10
2014-10-14 13:47:13 status unpacked ncurses-base:all 5.9-10
2014-10-14 13:47:13 install ncurses-bin:i386 <none> 5.9-10
2014-10-14 13:47:13 status half-installed ncurses-bin:i386 5.9-10
2014-10-14 13:47:13 status unpacked ncurses-bin:i386 5.9-10
2014-10-14 13:47:13 status unpacked ncurses-bin:i386 5.9-10
2014-10-14 13:47:13 install libpam-modules:i386 <none> 1.1.3-7.1
2014-10-14 13:47:13 status half-installed libpam-modules:i386 1.1.3-7.1
2014-10-14 13:47:13 status unpacked libpam-modules:i386 1.1.3-7.1
2014-10-14 13:47:13 status unpacked libpam-modules:i386 1.1.3-7.1
2014-10-14 13:47:13 install libpam-modules-bin:i386 <none> 1.1.3-7.1
2014-10-14 13:47:13 status half-installed libpam-modules-bin:i386 1.1.3-7.1
2014-10-14 13:47:13 status unpacked libpam-modules-bin:i386 1.1.3-7.1
2014-10-14 13:47:13 status unpacked libpam-modules-bin:i386 1.1.3-7.1
2014-10-14 13:47:13 install libpam-runtime:all <none> 1.1.3-7.1
2014-10-14 13:47:13 status half-installed libpam-runtime:all 1.1.3-7.1
2014-10-14 13:47:13 status unpacked libpam-runtime:all 1.1.3-7.1
2014-10-14 13:47:13 status unpacked libpam-runtime:all 1.1.3-7.1
2014-10-14 13:47:14 install libpam0g:i386 <none> 1.1.3-7.1
2014-10-14 13:47:14 status half-installed libpam0g:i386 1.1.3-7.1
2014-10-14 13:47:14 status unpacked libpam0g:i386 1.1.3-7.1
2014-10-14 13:47:14 status unpacked libpam0g:i386 1.1.3-7.1
2014-10-14 13:47:14 upgrade perl-base:i386 5.14.2-21+deb7u1 5.14.2-21+deb7u1
2014-10-14 13:47:14 status half-configured perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:14 status unpacked perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:14 status half-installed perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:14 status half-installed perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:14 status unpacked perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:14 status unpacked perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:14 install sed:i386 <none> 4.2.1-10
2014-10-14 13:47:14 status half-installed sed:i386 4.2.1-10
2014-10-14 13:47:14 status unpacked sed:i386 4.2.1-10
2014-10-14 13:47:14 status unpacked sed:i386 4.2.1-10
2014-10-14 13:47:14 install sensible-utils:all <none> 0.0.7
2014-10-14 13:47:14 status half-installed sensible-utils:all 0.0.7
2014-10-14 13:47:14 status unpacked sensible-utils:all 0.0.7
2014-10-14 13:47:14 status unpacked sensible-utils:all 0.0.7
2014-10-14 13:47:14 install login:i386 <none> 1:4.1.5.1-1
2014-10-14 13:47:14 status half-installed login:i386 1:4.1.5.1-1
2014-10-14 13:47:14 status unpacked login:i386 1:4.1.5.1-1
2014-10-14 13:47:14 status unpacked login:i386 1:4.1.5.1-1
2014-10-14 13:47:14 install passwd:i386 <none> 1:4.1.5.1-1
2014-10-14 13:47:14 status half-installed passwd:i386 1:4.1.5.1-1
2014-10-14 13:47:15 status unpacked passwd:i386 1:4.1.5.1-1
2014-10-14 13:47:15 status unpacked passwd:i386 1:4.1.5.1-1
2014-10-14 13:47:15 install libslang2:i386 <none> 2.2.4-15
2014-10-14 13:47:15 status half-installed libslang2:i386 2.2.4-15
2014-10-14 13:47:15 status unpacked libslang2:i386 2.2.4-15
2014-10-14 13:47:15 status unpacked libslang2:i386 2.2.4-15
2014-10-14 13:47:15 install initscripts:i386 <none> 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status half-installed initscripts:i386 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status unpacked initscripts:i386 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status unpacked initscripts:i386 2.88dsf-41+deb7u1
2014-10-14 13:47:15 install sysv-rc:all <none> 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status half-installed sysv-rc:all 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2014-10-14 13:47:15 install sysvinit:i386 <none> 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status half-installed sysvinit:i386 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status unpacked sysvinit:i386 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status unpacked sysvinit:i386 2.88dsf-41+deb7u1
2014-10-14 13:47:15 install sysvinit-utils:i386 <none> 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status half-installed sysvinit-utils:i386 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status unpacked sysvinit-utils:i386 2.88dsf-41+deb7u1
2014-10-14 13:47:15 status unpacked sysvinit-utils:i386 2.88dsf-41+deb7u1
2014-10-14 13:47:15 install tar:i386 <none> 1.26+dfsg-0.1
2014-10-14 13:47:15 status half-installed tar:i386 1.26+dfsg-0.1
2014-10-14 13:47:15 status unpacked tar:i386 1.26+dfsg-0.1
2014-10-14 13:47:15 status unpacked tar:i386 1.26+dfsg-0.1
2014-10-14 13:47:15 install tzdata:all <none> 2014e-0wheezy1
2014-10-14 13:47:15 status half-installed tzdata:all 2014e-0wheezy1
2014-10-14 13:47:16 status unpacked tzdata:all 2014e-0wheezy1
2014-10-14 13:47:16 status unpacked tzdata:all 2014e-0wheezy1
2014-10-14 13:47:16 install libustr-1.0-1:i386 <none> 1.0.4-3
2014-10-14 13:47:16 status half-installed libustr-1.0-1:i386 1.0.4-3
2014-10-14 13:47:16 status unpacked libustr-1.0-1:i386 1.0.4-3
2014-10-14 13:47:16 status unpacked libustr-1.0-1:i386 1.0.4-3
2014-10-14 13:47:16 install bsdutils:i386 <none> 1:2.20.1-5.3
2014-10-14 13:47:16 status half-installed bsdutils:i386 1:2.20.1-5.3
2014-10-14 13:47:16 status unpacked bsdutils:i386 1:2.20.1-5.3
2014-10-14 13:47:16 status unpacked bsdutils:i386 1:2.20.1-5.3
2014-10-14 13:47:16 install libblkid1:i386 <none> 2.20.1-5.3
2014-10-14 13:47:16 status half-installed libblkid1:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked libblkid1:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked libblkid1:i386 2.20.1-5.3
2014-10-14 13:47:16 install libmount1:i386 <none> 2.20.1-5.3
2014-10-14 13:47:16 status half-installed libmount1:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked libmount1:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked libmount1:i386 2.20.1-5.3
2014-10-14 13:47:16 install libuuid1:i386 <none> 2.20.1-5.3
2014-10-14 13:47:16 status half-installed libuuid1:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked libuuid1:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked libuuid1:i386 2.20.1-5.3
2014-10-14 13:47:16 install mount:i386 <none> 2.20.1-5.3
2014-10-14 13:47:16 status half-installed mount:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked mount:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked mount:i386 2.20.1-5.3
2014-10-14 13:47:16 install util-linux:i386 <none> 2.20.1-5.3
2014-10-14 13:47:16 status half-installed util-linux:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked util-linux:i386 2.20.1-5.3
2014-10-14 13:47:16 status unpacked util-linux:i386 2.20.1-5.3
2014-10-14 13:47:16 install liblzma5:i386 <none> 5.1.1alpha+20120614-2
2014-10-14 13:47:16 status half-installed liblzma5:i386 5.1.1alpha+20120614-2
2014-10-14 13:47:16 status unpacked liblzma5:i386 5.1.1alpha+20120614-2
2014-10-14 13:47:16 status unpacked liblzma5:i386 5.1.1alpha+20120614-2
2014-10-14 13:47:16 install xz-utils:i386 <none> 5.1.1alpha+20120614-2
2014-10-14 13:47:16 status half-installed xz-utils:i386 5.1.1alpha+20120614-2
2014-10-14 13:47:16 status unpacked xz-utils:i386 5.1.1alpha+20120614-2
2014-10-14 13:47:16 status unpacked xz-utils:i386 5.1.1alpha+20120614-2
2014-10-14 13:47:16 install zlib1g:i386 <none> 1:1.2.7.dfsg-13
2014-10-14 13:47:16 status half-installed zlib1g:i386 1:1.2.7.dfsg-13
2014-10-14 13:47:16 status unpacked zlib1g:i386 1:1.2.7.dfsg-13
2014-10-14 13:47:16 status unpacked zlib1g:i386 1:1.2.7.dfsg-13
2014-10-14 13:47:16 startup packages configure
2014-10-14 13:47:16 configure lsb-base:all 4.1+Debian8+deb7u1 <none>
2014-10-14 13:47:16 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2014-10-14 13:47:16 status half-configured lsb-base:all 4.1+Debian8+deb7u1
2014-10-14 13:47:16 status installed lsb-base:all 4.1+Debian8+deb7u1
2014-10-14 13:47:16 configure ncurses-base:all 5.9-10 <none>
2014-10-14 13:47:16 status unpacked ncurses-base:all 5.9-10
2014-10-14 13:47:16 status unpacked ncurses-base:all 5.9-10
2014-10-14 13:47:16 status half-configured ncurses-base:all 5.9-10
2014-10-14 13:47:16 status installed ncurses-base:all 5.9-10
2014-10-14 13:47:16 configure sensible-utils:all 0.0.7 <none>
2014-10-14 13:47:16 status unpacked sensible-utils:all 0.0.7
2014-10-14 13:47:16 status half-configured sensible-utils:all 0.0.7
2014-10-14 13:47:16 status installed sensible-utils:all 0.0.7
2014-10-14 13:47:16 configure libsemanage-common:all 2.1.6-6 <none>
2014-10-14 13:47:16 status unpacked libsemanage-common:all 2.1.6-6
2014-10-14 13:47:16 status unpacked libsemanage-common:all 2.1.6-6
2014-10-14 13:47:16 status half-configured libsemanage-common:all 2.1.6-6
2014-10-14 13:47:16 status installed libsemanage-common:all 2.1.6-6
2014-10-14 13:47:16 configure gcc-4.7-base:i386 4.7.2-5 <none>
